metric_class,metric_module,metric_output,dojo_class,dojo_cell
LeaderMaskedFromDeckMetric,src.data_refinement.metrics.play_gwent.leader_masked_from_deck_metric,data/metrics/play_gwent/leader_masked_from_deck.parquet,LeaderMaskedFromDeckDojo,MultiCardFixedClassificationDojo
CardTakeRateMetric,src.data_refinement.metrics.seventeenlands.draft_data.pack_card_tally_metrics,data/metrics/seventeenlands/draft_data/card_take_rate.parquet,CardTakeRateDojo,SingleCardRegressionDojo
FirstPickRateMetric,src.data_refinement.metrics.seventeenlands.draft_data.pack_card_tally_metrics,data/metrics/seventeenlands/draft_data/first_pick_rate.parquet,FirstPickRateDojo,SingleCardRegressionDojo
PackToPickChoiceSetMetric,src.data_refinement.metrics.seventeenlands.draft_data.pack_to_pick_choice_set_metric,data/metrics/seventeenlands/draft_data/pack_to_pick_choice_set.parquet,PackToPickChoiceSetDojo,MultiCardOptionSelectionDojo
PickNumberDecayCurveMetric,src.data_refinement.metrics.seventeenlands.draft_data.pick_number_decay_curve_metric,data/metrics/seventeenlands/draft_data/pick_number_decay_curve.parquet,PickNumberDecayCurveDojo,SingleCardFixedClassificationDojo
PoolConditionedPickMetric,src.data_refinement.metrics.seventeenlands.draft_data.pool_conditioned_pick_metric,data/metrics/seventeenlands/draft_data/pool_conditioned_pick.parquet,PoolConditionedPickDojo,MultiGroupOptionSelectionDojo
RankStratifiedTakeRateMetric,src.data_refinement.metrics.seventeenlands.draft_data.pack_card_tally_metrics,data/metrics/seventeenlands/draft_data/rank_stratified_take_rate.parquet,RankStratifiedTakeRateDojo,SingleCardRegressionDojo
DeckGameLengthPredictionMetric,src.data_refinement.metrics.seventeenlands.game_data.game_deck_label_metrics,data/metrics/seventeenlands/game_data/deck_game_length_prediction.parquet,DeckGameLengthPredictionDojo,MultiCardRegressionDojo
DeckRankTierPredictionMetric,src.data_refinement.metrics.seventeenlands.game_data.game_deck_label_metrics,data/metrics/seventeenlands/game_data/deck_rank_tier_prediction.parquet,DeckRankTierPredictionDojo,MultiCardFixedClassificationDojo
DeckWinPredictionMetric,src.data_refinement.metrics.seventeenlands.game_data.game_deck_label_metrics,data/metrics/seventeenlands/game_data/deck_win_prediction.parquet,DeckWinPredictionDojo,MultiCardBinaryClassificationDojo
DrawnWinRateMetric,src.data_refinement.metrics.seventeenlands.game_data.game_card_average_metrics,data/metrics/seventeenlands/game_data/drawn_win_rate.parquet,DrawnWinRateDojo,SingleCardRegressionDojo
GameLengthAssociationMetric,src.data_refinement.metrics.seventeenlands.game_data.game_length_association_metric,data/metrics/seventeenlands/game_data/game_length_association.parquet,GameLengthAssociationDojo,SingleCardRegressionDojo
OnPlayWinRateDeltaMetric,src.data_refinement.metrics.seventeenlands.game_data.on_play_win_rate_delta_metric,data/metrics/seventeenlands/game_data/on_play_win_rate_delta.parquet,OnPlayWinRateDeltaDojo,SingleCardRegressionDojo
OnPlayWinRateSensitivityByDeckMetric,src.data_refinement.metrics.seventeenlands.game_data.on_play_win_rate_sensitivity_by_deck_metric,data/metrics/seventeenlands/game_data/on_play_win_rate_sensitivity_by_deck.parquet,OnPlayWinRateSensitivityByDeckDojo,MultiCardRegressionDojo
OpeningHandWinRateMetric,src.data_refinement.metrics.seventeenlands.game_data.game_card_average_metrics,data/metrics/seventeenlands/game_data/opening_hand_win_rate.parquet,OpeningHandWinRateDojo,SingleCardRegressionDojo
TutorTargetPoolMetric,src.data_refinement.metrics.seventeenlands.game_data.tutor_target_pool_metric,data/metrics/seventeenlands/game_data/tutor_target_pool.parquet,TutorTargetPoolDojo,SingleCardRegressionDojo
TutorTargetRateMetric,src.data_refinement.metrics.seventeenlands.game_data.tutor_target_rate_metric,data/metrics/seventeenlands/game_data/tutor_target_rate.parquet,TutorTargetRateDojo,SingleCardRegressionDojo
WinRateWhenInDeckMetric,src.data_refinement.metrics.seventeenlands.game_data.game_card_average_metrics,data/metrics/seventeenlands/game_data/win_rate_when_in_deck.parquet,WinRateWhenInDeckDojo,SingleCardRegressionDojo
AttackerBlockerCombatOutcomeMetric,src.data_refinement.metrics.seventeenlands.replay_data.attacker_blocker_combat_outcome_metric,data/metrics/seventeenlands/replay_data/attacker_blocker_combat_outcome.parquet,AttackerBlockerCombatOutcomeDojo,MultiGroupRegressionDojo
AverageTurnCastMetric,src.data_refinement.metrics.seventeenlands.replay_data.average_turn_cast_metric,data/metrics/seventeenlands/replay_data/average_turn_cast.parquet,AverageTurnCastDojo,SingleCardRegressionDojo
CastRateMetric,src.data_refinement.metrics.seventeenlands.replay_data.cast_rate_metric,data/metrics/seventeenlands/replay_data/cast_rate.parquet,CastRateDojo,SingleCardRegressionDojo
CombatAggressionProfileMetric,src.data_refinement.metrics.seventeenlands.replay_data.combat_aggression_profile_metric,data/metrics/seventeenlands/replay_data/combat_aggression_profile.parquet,CombatAggressionProfileDojo,MultiCardRegressionDojo
CombatDamagePushThroughRateMetric,src.data_refinement.metrics.seventeenlands.replay_data.replay_turn_event_rate_metrics,data/metrics/seventeenlands/replay_data/combat_damage_push_through_rate.parquet,CombatDamagePushThroughRateDojo,SingleCardRegressionDojo
CombatKillInvolvementRateMetric,src.data_refinement.metrics.seventeenlands.replay_data.replay_turn_event_rate_metrics,data/metrics/seventeenlands/replay_data/combat_kill_involvement_rate.parquet,CombatKillInvolvementRateDojo,SingleCardRegressionDojo
DiscardRateMetric,src.data_refinement.metrics.seventeenlands.replay_data.discard_rate_metric,data/metrics/seventeenlands/replay_data/discard_rate.parquet,DiscardRateDojo,SingleCardRegressionDojo
TurnsToGameEndAfterCastMetric,src.data_refinement.metrics.seventeenlands.replay_data.turns_to_game_end_after_cast_metric,data/metrics/seventeenlands/replay_data/turns_to_game_end_after_cast.parquet,TurnsToGameEndAfterCastDojo,SingleCardRegressionDojo
TutorTargetRateMetric,src.data_refinement.metrics.seventeenlands.replay_data.tutor_target_rate_metric,data/metrics/seventeenlands/replay_data/tutor_target_rate.parquet,TutorTargetRateDojo,SingleCardRegressionDojo
AscensionPredictionMetric,src.data_refinement.metrics.sts_gg.ascension_prediction_metric,data/metrics/sts_gg/ascension_prediction.parquet,,
CardCharacterPredictionMetric,src.data_refinement.metrics.sts_gg.card_character_prediction_metric,data/metrics/sts_gg/card_character_prediction.parquet,CardCharacterPredictionDojo,SingleCardFixedClassificationDojo
CardDeckSizeMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_deck_size.parquet,CardDeckSizeDojo,SingleCardRegressionDojo
CardElitesKilledMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_elites_killed.parquet,CardElitesKilledDojo,SingleCardRegressionDojo
CardFloorsClearedMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_floors_cleared.parquet,CardFloorsClearedDojo,SingleCardRegressionDojo
CardRelicCountMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_relic_count.parquet,CardRelicCountDojo,SingleCardRegressionDojo
CardTotalCardsPickedMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_total_cards_picked.parquet,CardTotalCardsPickedDojo,SingleCardRegressionDojo
CardTotalCombatsMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_total_combats.parquet,CardTotalCombatsDojo,SingleCardRegressionDojo
CardTotalDamageTakenMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_total_damage_taken.parquet,CardTotalDamageTakenDojo,SingleCardRegressionDojo
CardTotalTurnsMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_total_turns.parquet,CardTotalTurnsDojo,SingleCardRegressionDojo
CardUpgradeRateMetric,src.data_refinement.metrics.sts_gg.card_upgrade_rate_metric,data/metrics/sts_gg/card_upgrade_rate.parquet,,
CardWinRateMetric,src.data_refinement.metrics.sts_gg.card_average_metrics,data/metrics/sts_gg/card_win_rate.parquet,CardWinRateDojo,SingleCardRegressionDojo
CardWinRateAtAct2Metric,src.data_refinement.metrics.sts_gg.card_win_rate_at_act2_metric,data/metrics/sts_gg/card_win_rate_at_act2.parquet,,
CharacterPredictionMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/character_prediction.parquet,CharacterDojo,MultiCardFixedClassificationDojo
ElitesKilledMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/elites_killed.parquet,DeckElitesKilledDojo,MultiCardRegressionDojo
FloorsClearedMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/floors_cleared.parquet,DeckFloorsClearedDojo,MultiCardRegressionDojo
KilledByMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/killed_by.parquet,,
RelicCountMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/relic_count.parquet,DeckRelicCountDojo,MultiCardRegressionDojo
TotalCardsPickedMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/total_cards_picked.parquet,DeckTotalCardsPickedDojo,MultiCardRegressionDojo
TotalCardsSkippedMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/total_cards_skipped.parquet,DeckTotalCardsSkippedDojo,MultiCardRegressionDojo
TotalCombatsMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/total_combats.parquet,DeckTotalCombatsDojo,MultiCardRegressionDojo
TotalDamageTakenMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/total_damage_taken.parquet,DeckTotalDamageTakenDojo,MultiCardRegressionDojo
TotalTurnsMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/total_turns.parquet,DeckTotalTurnsDojo,MultiCardRegressionDojo
WinMetric,src.data_refinement.metrics.sts_gg.deck_label_metrics,data/metrics/sts_gg/win.parquet,WinDojo,MultiCardBinaryClassificationDojo
